,0
"Censo_Technical or Comercial Studies, and Finished High School",141
"Censo_Normal Studies, and Finished Primary or Middle School",599
Censo_Normal Bachelor's Degree,75
Censo_Bachelor's Degree,4
Censo_Specialty,549
Censo_Master Degree,181
Censo_PhD,843
Censo_No Specified,187
"IMSS_Agricultura, ganadería, silvicultura, pesca y caza",1195
IMSS_Industrias extractivas,1923
IMSS_Industrias de transformación,1428
IMSS_Industria de la construcción,622
"IMSS_Industria eléctrica, y captación y suministro de agua potable",1906
IMSS_Comercio,832
IMSS_Transportes y comunicaciones,1261
"IMSS_Servicios para empresas, personas y el hogar",983
IMSS_Servicios sociales y comunales,1264
economico_UE_sin_ventas_112,0
economico_UE_con_ventas_112,0
economico_UE_sin_ventas_114,0
economico_UE_con_ventas_114,0
economico_UE_sin_ventas_115,0
economico_UE_con_ventas_115,0
economico_UE_sin_ventas_212,0
economico_UE_con_ventas_212,0
economico_UE_sin_ventas_213,1027
economico_UE_con_ventas_213,1027
economico_UE_sin_ventas_221,0
economico_UE_con_ventas_221,0
economico_UE_sin_ventas_236,0
economico_UE_con_ventas_236,0
economico_UE_sin_ventas_237,0
economico_UE_con_ventas_237,0
economico_UE_sin_ventas_238,0
economico_UE_con_ventas_238,0
economico_UE_sin_ventas_311,0
economico_UE_con_ventas_311,0
economico_UE_sin_ventas_312,0
economico_UE_con_ventas_312,0
economico_UE_sin_ventas_313,0
economico_UE_con_ventas_313,0
economico_UE_sin_ventas_314,0
economico_UE_con_ventas_314,0
economico_UE_sin_ventas_315,0
economico_UE_con_ventas_315,0
economico_UE_sin_ventas_316,0
economico_UE_con_ventas_316,0
economico_UE_sin_ventas_321,0
economico_UE_con_ventas_321,0
economico_UE_sin_ventas_322,0
economico_UE_con_ventas_322,0
economico_UE_sin_ventas_323,0
economico_UE_con_ventas_323,0
economico_UE_sin_ventas_324,190
economico_UE_con_ventas_324,190
economico_UE_sin_ventas_325,0
economico_UE_con_ventas_325,0
economico_UE_sin_ventas_326,0
economico_UE_con_ventas_326,0
economico_UE_sin_ventas_327,0
economico_UE_con_ventas_327,0
economico_UE_sin_ventas_331,17
economico_UE_con_ventas_331,17
economico_UE_sin_ventas_332,0
economico_UE_con_ventas_332,0
economico_UE_sin_ventas_333,0
economico_UE_con_ventas_333,0
economico_UE_sin_ventas_334,55
economico_UE_con_ventas_334,55
economico_UE_sin_ventas_335,20
economico_UE_con_ventas_335,20
economico_UE_sin_ventas_336,0
economico_UE_con_ventas_336,0
economico_UE_sin_ventas_337,0
economico_UE_con_ventas_337,0
economico_UE_sin_ventas_339,0
economico_UE_con_ventas_339,0
economico_UE_sin_ventas_431,0
economico_UE_con_ventas_431,0
economico_UE_sin_ventas_432,0
economico_UE_con_ventas_432,0
economico_UE_sin_ventas_433,0
economico_UE_con_ventas_433,0
economico_UE_sin_ventas_434,0
economico_UE_con_ventas_434,0
economico_UE_sin_ventas_435,0
economico_UE_con_ventas_435,0
economico_UE_sin_ventas_436,0
economico_UE_con_ventas_436,0
economico_UE_sin_ventas_437,217
economico_UE_con_ventas_437,217
economico_UE_sin_ventas_461,0
economico_UE_con_ventas_461,0
economico_UE_sin_ventas_462,0
economico_UE_con_ventas_462,0
economico_UE_sin_ventas_463,0
economico_UE_con_ventas_463,0
economico_UE_sin_ventas_464,0
economico_UE_con_ventas_464,0
economico_UE_sin_ventas_465,0
economico_UE_con_ventas_465,0
economico_UE_sin_ventas_466,0
economico_UE_con_ventas_466,0
economico_UE_sin_ventas_467,0
economico_UE_con_ventas_467,0
economico_UE_sin_ventas_468,0
economico_UE_con_ventas_468,0
economico_UE_sin_ventas_469,77
economico_UE_con_ventas_469,77
economico_UE_sin_ventas_483,292
economico_UE_con_ventas_483,292
economico_UE_sin_ventas_484,0
economico_UE_con_ventas_484,0
economico_UE_sin_ventas_485,0
economico_UE_con_ventas_485,0
economico_UE_sin_ventas_487,0
economico_UE_con_ventas_487,0
economico_UE_sin_ventas_488,0
economico_UE_con_ventas_488,0
economico_UE_sin_ventas_491,0
economico_UE_con_ventas_491,0
economico_UE_sin_ventas_492,0
economico_UE_con_ventas_492,0
economico_UE_sin_ventas_493,0
economico_UE_con_ventas_493,0
economico_UE_sin_ventas_511,0
economico_UE_con_ventas_511,0
economico_UE_sin_ventas_512,0
economico_UE_con_ventas_512,0
economico_UE_sin_ventas_515,0
economico_UE_con_ventas_515,0
economico_UE_sin_ventas_517,0
economico_UE_con_ventas_517,0
economico_UE_sin_ventas_518,138
economico_UE_con_ventas_518,138
economico_UE_sin_ventas_519,0
economico_UE_con_ventas_519,0
economico_UE_sin_ventas_522,0
economico_UE_con_ventas_522,0
economico_UE_sin_ventas_523,29
economico_UE_con_ventas_523,29
economico_UE_sin_ventas_524,0
economico_UE_con_ventas_524,0
economico_UE_sin_ventas_531,0
economico_UE_con_ventas_531,0
economico_UE_sin_ventas_532,0
economico_UE_con_ventas_532,0
economico_UE_sin_ventas_533,1358
economico_UE_con_ventas_533,1358
economico_UE_sin_ventas_541,0
economico_UE_con_ventas_541,0
economico_UE_sin_ventas_551,264
economico_UE_con_ventas_551,264
economico_UE_sin_ventas_561,0
economico_UE_con_ventas_561,0
economico_UE_sin_ventas_562,0
economico_UE_con_ventas_562,0
economico_UE_sin_ventas_611,0
economico_UE_con_ventas_611,0
economico_UE_sin_ventas_621,0
economico_UE_con_ventas_621,0
economico_UE_sin_ventas_622,0
economico_UE_con_ventas_622,0
economico_UE_sin_ventas_623,0
economico_UE_con_ventas_623,0
