Codigo_INEGI,Muncipio,ID_Grado_academico,Grado_Academico,Poblacion
1001,Aguascalientes,0,Undefined,36881
1001,Aguascalientes,1,Preschool or Kindergarden,45643
1001,Aguascalientes,2,Primary School,198785
1001,Aguascalientes,3,Middle School,220333
1001,Aguascalientes,4,High School or General Baccalaureate,138060
1001,Aguascalientes,5,Technical Baccalaureate or Normal Basic Education,28580
1001,Aguascalientes,6,"Technical or Comercial Studies, and Finished Primary School",4977
1001,Aguascalientes,7,"Technical or Comercial Studies, and Finished Middle School",12194
1001,Aguascalientes,8,"Technical or Comercial Studies, and Finished High School",14236
1001,Aguascalientes,9,"Normal Studies, and Finished Primary or Middle School",1482
1001,Aguascalientes,10,Normal Bachelor's Degree,4218
1001,Aguascalientes,11,Bachelor's Degree,171292
1001,Aguascalientes,12,Specialty,4554
1001,Aguascalientes,13,Master Degree,15850
1001,Aguascalientes,14,PhD,2784
1001,Aguascalientes,99,No Specified,1393
1002,Asientos,0,Undefined,3227
1002,Asientos,1,Preschool or Kindergarden,2462
1002,Asientos,2,Primary School,16426
1002,Asientos,3,Middle School,15458
1002,Asientos,4,High School or General Baccalaureate,6149
1002,Asientos,5,Technical Baccalaureate or Normal Basic Education,949
1002,Asientos,6,"Technical or Comercial Studies, and Finished Primary School",5
1002,Asientos,7,"Technical or Comercial Studies, and Finished Middle School",55
1002,Asientos,8,"Technical or Comercial Studies, and Finished High School",282
1002,Asientos,9,"Normal Studies, and Finished Primary or Middle School",90
1002,Asientos,10,Normal Bachelor's Degree,231
1002,Asientos,11,Bachelor's Degree,2767
1002,Asientos,12,Specialty,22
1002,Asientos,13,Master Degree,80
1002,Asientos,14,PhD,14
1002,Asientos,99,No Specified,58
1003,Calvillo,0,Undefined,4167
1003,Calvillo,1,Preschool or Kindergarden,2422
1003,Calvillo,2,Primary School,21209
1003,Calvillo,3,Middle School,16149
1003,Calvillo,4,High School or General Baccalaureate,6115
1003,Calvillo,5,Technical Baccalaureate or Normal Basic Education,786
1003,Calvillo,6,"Technical or Comercial Studies, and Finished Primary School",63
1003,Calvillo,7,"Technical or Comercial Studies, and Finished Middle School",174
1003,Calvillo,8,"Technical or Comercial Studies, and Finished High School",576
1003,Calvillo,9,"Normal Studies, and Finished Primary or Middle School",12
1003,Calvillo,10,Normal Bachelor's Degree,199
1003,Calvillo,11,Bachelor's Degree,2885
1003,Calvillo,12,Specialty,40
1003,Calvillo,13,Master Degree,136
1003,Calvillo,14,PhD,20
1003,Calvillo,99,No Specified,66
1004,Cosío,0,Undefined,836
1004,Cosío,1,Preschool or Kindergarden,1189
1004,Cosío,2,Primary School,4538
1004,Cosío,3,Middle School,5269
1004,Cosío,4,High School or General Baccalaureate,2090
1004,Cosío,5,Technical Baccalaureate or Normal Basic Education,632
1004,Cosío,6,"Technical or Comercial Studies, and Finished Primary School",18
1004,Cosío,7,"Technical or Comercial Studies, and Finished Middle School",26
1004,Cosío,8,"Technical or Comercial Studies, and Finished High School",271
1004,Cosío,9,"Normal Studies, and Finished Primary or Middle School",19
1004,Cosío,10,Normal Bachelor's Degree,143
1004,Cosío,11,Bachelor's Degree,853
1004,Cosío,12,Specialty,17
1004,Cosío,13,Master Degree,36
1004,Cosío,99,No Specified,22
1005,Jesús María,0,Undefined,8515
1005,Jesús María,1,Preschool or Kindergarden,9773
1005,Jesús María,2,Primary School,30671
1005,Jesús María,3,Middle School,29538
1005,Jesús María,4,High School or General Baccalaureate,16579
1005,Jesús María,5,Technical Baccalaureate or Normal Basic Education,2987
1005,Jesús María,6,"Technical or Comercial Studies, and Finished Primary School",220
1005,Jesús María,7,"Technical or Comercial Studies, and Finished Middle School",1161
1005,Jesús María,8,"Technical or Comercial Studies, and Finished High School",1742
1005,Jesús María,9,"Normal Studies, and Finished Primary or Middle School",104
1005,Jesús María,10,Normal Bachelor's Degree,539
1005,Jesús María,11,Bachelor's Degree,17427
1005,Jesús María,12,Specialty,475
1005,Jesús María,13,Master Degree,2234
1005,Jesús María,14,PhD,396
1005,Jesús María,99,No Specified,183
1006,Pabellón de Arteaga,0,Undefined,2450
1006,Pabellón de Arteaga,1,Preschool or Kindergarden,2388
1006,Pabellón de Arteaga,2,Primary School,11877
1006,Pabellón de Arteaga,3,Middle School,12146
1006,Pabellón de Arteaga,4,High School or General Baccalaureate,6147
1006,Pabellón de Arteaga,5,Technical Baccalaureate or Normal Basic Education,1733
1006,Pabellón de Arteaga,6,"Technical or Comercial Studies, and Finished Primary School",44
1006,Pabellón de Arteaga,7,"Technical or Comercial Studies, and Finished Middle School",186
1006,Pabellón de Arteaga,8,"Technical or Comercial Studies, and Finished High School",760
1006,Pabellón de Arteaga,9,"Normal Studies, and Finished Primary or Middle School",82
1006,Pabellón de Arteaga,10,Normal Bachelor's Degree,589
1006,Pabellón de Arteaga,11,Bachelor's Degree,5779
1006,Pabellón de Arteaga,12,Specialty,80
1006,Pabellón de Arteaga,13,Master Degree,396
1006,Pabellón de Arteaga,14,PhD,166
1006,Pabellón de Arteaga,99,No Specified,70
1007,Rincón de Romos,0,Undefined,3504
1007,Rincón de Romos,1,Preschool or Kindergarden,3450
1007,Rincón de Romos,2,Primary School,14855
1007,Rincón de Romos,3,Middle School,15536
1007,Rincón de Romos,4,High School or General Baccalaureate,7300
1007,Rincón de Romos,5,Technical Baccalaureate or Normal Basic Education,2154
1007,Rincón de Romos,6,"Technical or Comercial Studies, and Finished Primary School",58
1007,Rincón de Romos,7,"Technical or Comercial Studies, and Finished Middle School",326
1007,Rincón de Romos,8,"Technical or Comercial Studies, and Finished High School",1064
1007,Rincón de Romos,9,"Normal Studies, and Finished Primary or Middle School",132
1007,Rincón de Romos,10,Normal Bachelor's Degree,797
1007,Rincón de Romos,11,Bachelor's Degree,3774
1007,Rincón de Romos,12,Specialty,90
1007,Rincón de Romos,13,Master Degree,252
1007,Rincón de Romos,14,PhD,63
1007,Rincón de Romos,99,No Specified,129
1008,San José de Gracia,0,Undefined,429
1008,San José de Gracia,1,Preschool or Kindergarden,544
1008,San José de Gracia,2,Primary School,2782
1008,San José de Gracia,3,Middle School,3065
1008,San José de Gracia,4,High School or General Baccalaureate,1258
1008,San José de Gracia,5,Technical Baccalaureate or Normal Basic Education,58
1008,San José de Gracia,6,"Technical or Comercial Studies, and Finished Primary School",5
1008,San José de Gracia,7,"Technical or Comercial Studies, and Finished Middle School",12
1008,San José de Gracia,8,"Technical or Comercial Studies, and Finished High School",69
1008,San José de Gracia,9,"Normal Studies, and Finished Primary or Middle School",1
1008,San José de Gracia,10,Normal Bachelor's Degree,89
1008,San José de Gracia,11,Bachelor's Degree,529
1008,San José de Gracia,12,Specialty,2
1008,San José de Gracia,13,Master Degree,12
1008,San José de Gracia,14,PhD,1
1008,San José de Gracia,99,No Specified,12
1009,Tepezalá,0,Undefined,1319
1009,Tepezalá,1,Preschool or Kindergarden,1169
1009,Tepezalá,2,Primary School,7258
1009,Tepezalá,3,Middle School,6404
1009,Tepezalá,4,High School or General Baccalaureate,3331
1009,Tepezalá,5,Technical Baccalaureate or Normal Basic Education,132
1009,Tepezalá,6,"Technical or Comercial Studies, and Finished Primary School",3
1009,Tepezalá,7,"Technical or Comercial Studies, and Finished Middle School",74
1009,Tepezalá,8,"Technical or Comercial Studies, and Finished High School",449
1009,Tepezalá,9,"Normal Studies, and Finished Primary or Middle School",9
1009,Tepezalá,10,Normal Bachelor's Degree,181
1009,Tepezalá,11,Bachelor's Degree,784
1009,Tepezalá,12,Specialty,8
1009,Tepezalá,13,Master Degree,31
1009,Tepezalá,14,PhD,12
1009,Tepezalá,99,No Specified,18
1010,El Llano,0,Undefined,1272
1010,El Llano,1,Preschool or Kindergarden,1201
1010,El Llano,2,Primary School,6709
1010,El Llano,3,Middle School,6283
1010,El Llano,4,High School or General Baccalaureate,1851
1010,El Llano,5,Technical Baccalaureate or Normal Basic Education,480
1010,El Llano,6,"Technical or Comercial Studies, and Finished Primary School",34
1010,El Llano,7,"Technical or Comercial Studies, and Finished Middle School",48
1010,El Llano,8,"Technical or Comercial Studies, and Finished High School",209
1010,El Llano,9,"Normal Studies, and Finished Primary or Middle School",22
1010,El Llano,10,Normal Bachelor's Degree,154
1010,El Llano,11,Bachelor's Degree,633
1010,El Llano,12,Specialty,11
1010,El Llano,13,Master Degree,61
1010,El Llano,14,PhD,1
1010,El Llano,99,No Specified,18
1011,San Francisco de los Romo,0,Undefined,3880
1011,San Francisco de los Romo,1,Preschool or Kindergarden,3577
1011,San Francisco de los Romo,2,Primary School,17761
1011,San Francisco de los Romo,3,Middle School,17708
1011,San Francisco de los Romo,4,High School or General Baccalaureate,7171
1011,San Francisco de los Romo,5,Technical Baccalaureate or Normal Basic Education,1605
1011,San Francisco de los Romo,6,"Technical or Comercial Studies, and Finished Primary School",23
1011,San Francisco de los Romo,7,"Technical or Comercial Studies, and Finished Middle School",351
1011,San Francisco de los Romo,8,"Technical or Comercial Studies, and Finished High School",1253
1011,San Francisco de los Romo,9,"Normal Studies, and Finished Primary or Middle School",26
1011,San Francisco de los Romo,10,Normal Bachelor's Degree,398
1011,San Francisco de los Romo,11,Bachelor's Degree,3828
1011,San Francisco de los Romo,12,Specialty,67
1011,San Francisco de los Romo,13,Master Degree,304
1011,San Francisco de los Romo,14,PhD,10
1011,San Francisco de los Romo,99,No Specified,37
2001,Ensenada,0,Undefined,22947
2001,Ensenada,1,Preschool or Kindergarden,17956
2001,Ensenada,2,Primary School,99245
2001,Ensenada,3,Middle School,102891
2001,Ensenada,4,High School or General Baccalaureate,77910
2001,Ensenada,5,Technical Baccalaureate or Normal Basic Education,10114
2001,Ensenada,6,"Technical or Comercial Studies, and Finished Primary School",1152
2001,Ensenada,7,"Technical or Comercial Studies, and Finished Middle School",4976
2001,Ensenada,8,"Technical or Comercial Studies, and Finished High School",4023
2001,Ensenada,9,"Normal Studies, and Finished Primary or Middle School",900
2001,Ensenada,10,Normal Bachelor's Degree,2488
2001,Ensenada,11,Bachelor's Degree,67215
2001,Ensenada,12,Specialty,1316
2001,Ensenada,13,Master Degree,6172
2001,Ensenada,14,PhD,1720
2001,Ensenada,99,No Specified,1213
2002,Mexicali,0,Undefined,47316
2002,Mexicali,1,Preschool or Kindergarden,43580
2002,Mexicali,2,Primary School,218454
2002,Mexicali,3,Middle School,256439
2002,Mexicali,4,High School or General Baccalaureate,192078
2002,Mexicali,5,Technical Baccalaureate or Normal Basic Education,17196
2002,Mexicali,6,"Technical or Comercial Studies, and Finished Primary School",3807
2002,Mexicali,7,"Technical or Comercial Studies, and Finished Middle School",13697
2002,Mexicali,8,"Technical or Comercial Studies, and Finished High School",11970
2002,Mexicali,9,"Normal Studies, and Finished Primary or Middle School",2483
2002,Mexicali,10,Normal Bachelor's Degree,7807
2002,Mexicali,11,Bachelor's Degree,164214
2002,Mexicali,12,Specialty,4288
2002,Mexicali,13,Master Degree,16099
2002,Mexicali,14,PhD,2032
2002,Mexicali,99,No Specified,3132
2003,Tecate,0,Undefined,4779
2003,Tecate,1,Preschool or Kindergarden,4809
2003,Tecate,2,Primary School,25939
2003,Tecate,3,Middle School,26456
2003,Tecate,4,High School or General Baccalaureate,19770
2003,Tecate,5,Technical Baccalaureate or Normal Basic Education,1228
2003,Tecate,6,"Technical or Comercial Studies, and Finished Primary School",186
2003,Tecate,7,"Technical or Comercial Studies, and Finished Middle School",654
2003,Tecate,8,"Technical or Comercial Studies, and Finished High School",883
2003,Tecate,9,"Normal Studies, and Finished Primary or Middle School",95
2003,Tecate,10,Normal Bachelor's Degree,497
2003,Tecate,11,Bachelor's Degree,11553
2003,Tecate,12,Specialty,261
2003,Tecate,13,Master Degree,664
2003,Tecate,14,PhD,132
2003,Tecate,99,No Specified,300
2004,Tijuana,0,Undefined,93587
2004,Tijuana,1,Preschool or Kindergarden,74413
2004,Tijuana,2,Primary School,470300
2004,Tijuana,3,Middle School,510888
2004,Tijuana,4,High School or General Baccalaureate,378010
2004,Tijuana,5,Technical Baccalaureate or Normal Basic Education,31100
2004,Tijuana,6,"Technical or Comercial Studies, and Finished Primary School",3356
2004,Tijuana,7,"Technical or Comercial Studies, and Finished Middle School",11445
2004,Tijuana,8,"Technical or Comercial Studies, and Finished High School",16792
2004,Tijuana,9,"Normal Studies, and Finished Primary or Middle School",1052
2004,Tijuana,10,Normal Bachelor's Degree,19001
2004,Tijuana,11,Bachelor's Degree,193183
2004,Tijuana,12,Specialty,5696
2004,Tijuana,13,Master Degree,11335
2004,Tijuana,14,PhD,1386
2004,Tijuana,99,No Specified,8529
2005,Playas de Rosarito,0,Undefined,6011
2005,Playas de Rosarito,1,Preschool or Kindergarden,4757
2005,Playas de Rosarito,2,Primary School,32082
2005,Playas de Rosarito,3,Middle School,34371
2005,Playas de Rosarito,4,High School or General Baccalaureate,26981
2005,Playas de Rosarito,5,Technical Baccalaureate or Normal Basic Education,1080
2005,Playas de Rosarito,6,"Technical or Comercial Studies, and Finished Primary School",233
2005,Playas de Rosarito,7,"Technical or Comercial Studies, and Finished Middle School",798
2005,Playas de Rosarito,8,"Technical or Comercial Studies, and Finished High School",812
2005,Playas de Rosarito,9,"Normal Studies, and Finished Primary or Middle School",88
2005,Playas de Rosarito,10,Normal Bachelor's Degree,1251
2005,Playas de Rosarito,11,Bachelor's Degree,10513
2005,Playas de Rosarito,12,Specialty,448
2005,Playas de Rosarito,13,Master Degree,910
2005,Playas de Rosarito,14,PhD,384
2005,Playas de Rosarito,99,No Specified,982
2006,San Quintín,0,Undefined,14389
2006,San Quintín,1,Preschool or Kindergarden,6889
2006,San Quintín,2,Primary School,36384
2006,San Quintín,3,Middle School,25404
2006,San Quintín,4,High School or General Baccalaureate,17069
2006,San Quintín,5,Technical Baccalaureate or Normal Basic Education,315
2006,San Quintín,6,"Technical or Comercial Studies, and Finished Primary School",50
2006,San Quintín,7,"Technical or Comercial Studies, and Finished Middle School",407
2006,San Quintín,8,"Technical or Comercial Studies, and Finished High School",373
2006,San Quintín,9,"Normal Studies, and Finished Primary or Middle School",138
2006,San Quintín,10,Normal Bachelor's Degree,301
2006,San Quintín,11,Bachelor's Degree,7402
2006,San Quintín,12,Specialty,69
2006,San Quintín,13,Master Degree,531
2006,San Quintín,14,PhD,65
2006,San Quintín,99,No Specified,25
3001,Comondú,0,Undefined,5076
3001,Comondú,1,Preschool or Kindergarden,3402
3001,Comondú,2,Primary School,19361
3001,Comondú,3,Middle School,16270
3001,Comondú,4,High School or General Baccalaureate,14940
3001,Comondú,5,Technical Baccalaureate or Normal Basic Education,1003
3001,Comondú,6,"Technical or Comercial Studies, and Finished Primary School",268
3001,Comondú,7,"Technical or Comercial Studies, and Finished Middle School",790
3001,Comondú,8,"Technical or Comercial Studies, and Finished High School",584
3001,Comondú,9,"Normal Studies, and Finished Primary or Middle School",68
3001,Comondú,10,Normal Bachelor's Degree,496
3001,Comondú,11,Bachelor's Degree,6465
3001,Comondú,12,Specialty,117
3001,Comondú,13,Master Degree,383
3001,Comondú,14,PhD,54
3001,Comondú,99,No Specified,94
3002,Mulegé,0,Undefined,3607
3002,Mulegé,1,Preschool or Kindergarden,2832
3002,Mulegé,2,Primary School,17840
3002,Mulegé,3,Middle School,14632
3002,Mulegé,4,High School or General Baccalaureate,11958
3002,Mulegé,5,Technical Baccalaureate or Normal Basic Education,1516
3002,Mulegé,6,"Technical or Comercial Studies, and Finished Primary School",164
3002,Mulegé,7,"Technical or Comercial Studies, and Finished Middle School",578
3002,Mulegé,8,"Technical or Comercial Studies, and Finished High School",481
3002,Mulegé,9,"Normal Studies, and Finished Primary or Middle School",55
3002,Mulegé,10,Normal Bachelor's Degree,349
3002,Mulegé,11,Bachelor's Degree,5283
3002,Mulegé,12,Specialty,57
3002,Mulegé,13,Master Degree,332
3002,Mulegé,14,PhD,19
3002,Mulegé,99,No Specified,90
3003,La Paz,0,Undefined,9449
3003,La Paz,1,Preschool or Kindergarden,13135
3003,La Paz,2,Primary School,62378
3003,La Paz,3,Middle School,60361
3003,La Paz,4,High School or General Baccalaureate,56117
3003,La Paz,5,Technical Baccalaureate or Normal Basic Education,6329
3003,La Paz,6,"Technical or Comercial Studies, and Finished Primary School",1237
3003,La Paz,7,"Technical or Comercial Studies, and Finished Middle School",4321
3003,La Paz,8,"Technical or Comercial Studies, and Finished High School",4017
3003,La Paz,9,"Normal Studies, and Finished Primary or Middle School",181
3003,La Paz,10,Normal Bachelor's Degree,3129
3003,La Paz,11,Bachelor's Degree,52036
3003,La Paz,12,Specialty,922
3003,La Paz,13,Master Degree,4185
3003,La Paz,14,PhD,908
3003,La Paz,99,No Specified,508
3008,Los Cabos,0,Undefined,15875
3008,Los Cabos,1,Preschool or Kindergarden,17828
3008,Los Cabos,2,Primary School,83100
3008,Los Cabos,3,Middle School,84734
3008,Los Cabos,4,High School or General Baccalaureate,74258
3008,Los Cabos,5,Technical Baccalaureate or Normal Basic Education,2886
3008,Los Cabos,6,"Technical or Comercial Studies, and Finished Primary School",502
3008,Los Cabos,7,"Technical or Comercial Studies, and Finished Middle School",1444
3008,Los Cabos,8,"Technical or Comercial Studies, and Finished High School",2608
3008,Los Cabos,9,"Normal Studies, and Finished Primary or Middle School",61
3008,Los Cabos,10,Normal Bachelor's Degree,1246
3008,Los Cabos,11,Bachelor's Degree,42992
3008,Los Cabos,12,Specialty,665
3008,Los Cabos,13,Master Degree,1539
3008,Los Cabos,14,PhD,231
3008,Los Cabos,99,No Specified,1369
3009,Loreto,0,Undefined,830
3009,Loreto,1,Preschool or Kindergarden,837
3009,Loreto,2,Primary School,4939
3009,Loreto,3,Middle School,4367
3009,Loreto,4,High School or General Baccalaureate,3454
3009,Loreto,5,Technical Baccalaureate or Normal Basic Education,208
3009,Loreto,6,"Technical or Comercial Studies, and Finished Primary School",17
3009,Loreto,7,"Technical or Comercial Studies, and Finished Middle School",139
3009,Loreto,8,"Technical or Comercial Studies, and Finished High School",201
3009,Loreto,9,"Normal Studies, and Finished Primary or Middle School",22
3009,Loreto,10,Normal Bachelor's Degree,190
3009,Loreto,11,Bachelor's Degree,1788
3009,Loreto,12,Specialty,8
3009,Loreto,13,Master Degree,91
3009,Loreto,14,PhD,29
3009,Loreto,99,No Specified,58
4001,Calkiní,0,Undefined,4673
4001,Calkiní,1,Preschool or Kindergarden,3317
4001,Calkiní,2,Primary School,16058
4001,Calkiní,3,Middle School,12561
4001,Calkiní,4,High School or General Baccalaureate,6886
4001,Calkiní,5,Technical Baccalaureate or Normal Basic Education,1543
4001,Calkiní,6,"Technical or Comercial Studies, and Finished Primary School",180
4001,Calkiní,7,"Technical or Comercial Studies, and Finished Middle School",297
4001,Calkiní,8,"Technical or Comercial Studies, and Finished High School",855
4001,Calkiní,9,"Normal Studies, and Finished Primary or Middle School",375
4001,Calkiní,10,Normal Bachelor's Degree,2276
4001,Calkiní,11,Bachelor's Degree,6639
4001,Calkiní,12,Specialty,52
4001,Calkiní,13,Master Degree,382
4001,Calkiní,14,PhD,45
4001,Calkiní,99,No Specified,69
4002,Campeche,0,Undefined,13368
4002,Campeche,1,Preschool or Kindergarden,14196
4002,Campeche,2,Primary School,64538
4002,Campeche,3,Middle School,60747
4002,Campeche,4,High School or General Baccalaureate,42130
4002,Campeche,5,Technical Baccalaureate or Normal Basic Education,9774
4002,Campeche,6,"Technical or Comercial Studies, and Finished Primary School",1373
4002,Campeche,7,"Technical or Comercial Studies, and Finished Middle School",5528
4002,Campeche,8,"Technical or Comercial Studies, and Finished High School",3339
4002,Campeche,9,"Normal Studies, and Finished Primary or Middle School",768
4002,Campeche,10,Normal Bachelor's Degree,976
4002,Campeche,11,Bachelor's Degree,54220
4002,Campeche,12,Specialty,682
4002,Campeche,13,Master Degree,7247
4002,Campeche,14,PhD,982
4002,Campeche,99,No Specified,377
4003,Carmen,0,Undefined,14713
4003,Carmen,1,Preschool or Kindergarden,12584
4003,Carmen,2,Primary School,56856
4003,Carmen,3,Middle School,51303
4003,Carmen,4,High School or General Baccalaureate,40516
4003,Carmen,5,Technical Baccalaureate or Normal Basic Education,4042
4003,Carmen,6,"Technical or Comercial Studies, and Finished Primary School",359
4003,Carmen,7,"Technical or Comercial Studies, and Finished Middle School",1816
4003,Carmen,8,"Technical or Comercial Studies, and Finished High School",4154
4003,Carmen,9,"Normal Studies, and Finished Primary or Middle School",81
4003,Carmen,10,Normal Bachelor's Degree,1156
4003,Carmen,11,Bachelor's Degree,42636
4003,Carmen,12,Specialty,996
4003,Carmen,13,Master Degree,5049
4003,Carmen,14,PhD,477
4003,Carmen,99,No Specified,481
4004,Champotón,0,Undefined,6929
4004,Champotón,1,Preschool or Kindergarden,4614
4004,Champotón,2,Primary School,23040
4004,Champotón,3,Middle School,22290
4004,Champotón,4,High School or General Baccalaureate,9573
4004,Champotón,5,Technical Baccalaureate or Normal Basic Education,1360
4004,Champotón,6,"Technical or Comercial Studies, and Finished Primary School",81
4004,Champotón,7,"Technical or Comercial Studies, and Finished Middle School",504
4004,Champotón,8,"Technical or Comercial Studies, and Finished High School",467
4004,Champotón,9,"Normal Studies, and Finished Primary or Middle School",59
4004,Champotón,10,Normal Bachelor's Degree,168
4004,Champotón,11,Bachelor's Degree,4270
4004,Champotón,12,Specialty,32
4004,Champotón,13,Master Degree,287
4004,Champotón,14,PhD,72
4004,Champotón,99,No Specified,130
4005,Hecelchakán,0,Undefined,2241
4005,Hecelchakán,1,Preschool or Kindergarden,1952
4005,Hecelchakán,2,Primary School,7885
4005,Hecelchakán,3,Middle School,7909
4005,Hecelchakán,4,High School or General Baccalaureate,3453
4005,Hecelchakán,5,Technical Baccalaureate or Normal Basic Education,1792
4005,Hecelchakán,6,"Technical or Comercial Studies, and Finished Primary School",17
4005,Hecelchakán,7,"Technical or Comercial Studies, and Finished Middle School",215
4005,Hecelchakán,8,"Technical or Comercial Studies, and Finished High School",308
4005,Hecelchakán,9,"Normal Studies, and Finished Primary or Middle School",98
4005,Hecelchakán,10,Normal Bachelor's Degree,588
4005,Hecelchakán,11,Bachelor's Degree,3812
4005,Hecelchakán,12,Specialty,29
4005,Hecelchakán,13,Master Degree,173
4005,Hecelchakán,14,PhD,40
4005,Hecelchakán,99,No Specified,28
4006,Hopelchén,0,Undefined,9847
4006,Hopelchén,1,Preschool or Kindergarden,1929
4006,Hopelchén,2,Primary School,10752
4006,Hopelchén,3,Middle School,8679
4006,Hopelchén,4,High School or General Baccalaureate,4624
4006,Hopelchén,5,Technical Baccalaureate or Normal Basic Education,263
4006,Hopelchén,6,"Technical or Comercial Studies, and Finished Primary School",12
4006,Hopelchén,7,"Technical or Comercial Studies, and Finished Middle School",111
4006,Hopelchén,8,"Technical or Comercial Studies, and Finished High School",259
4006,Hopelchén,9,"Normal Studies, and Finished Primary or Middle School",24
4006,Hopelchén,10,Normal Bachelor's Degree,478
4006,Hopelchén,11,Bachelor's Degree,1981
4006,Hopelchén,12,Specialty,17
4006,Hopelchén,13,Master Degree,172
4006,Hopelchén,14,PhD,20
4006,Hopelchén,99,No Specified,91
4007,Palizada,0,Undefined,620
4007,Palizada,1,Preschool or Kindergarden,506
4007,Palizada,2,Primary School,2699
4007,Palizada,3,Middle School,2665
4007,Palizada,4,High School or General Baccalaureate,893
4007,Palizada,5,Technical Baccalaureate or Normal Basic Education,292
4007,Palizada,6,"Technical or Comercial Studies, and Finished Primary School",6
4007,Palizada,7,"Technical or Comercial Studies, and Finished Middle School",9
4007,Palizada,8,"Technical or Comercial Studies, and Finished High School",57
4007,Palizada,9,"Normal Studies, and Finished Primary or Middle School",5
4007,Palizada,10,Normal Bachelor's Degree,15
4007,Palizada,11,Bachelor's Degree,447
4007,Palizada,12,Specialty,6
4007,Palizada,13,Master Degree,25
4007,Palizada,14,PhD,2
4007,Palizada,99,No Specified,22
4008,Tenabo,0,Undefined,1491
4008,Tenabo,1,Preschool or Kindergarden,535
4008,Tenabo,2,Primary School,2974
4008,Tenabo,3,Middle School,2644
4008,Tenabo,4,High School or General Baccalaureate,1956
4008,Tenabo,5,Technical Baccalaureate or Normal Basic Education,220
4008,Tenabo,7,"Technical or Comercial Studies, and Finished Middle School",28
4008,Tenabo,8,"Technical or Comercial Studies, and Finished High School",50
4008,Tenabo,9,"Normal Studies, and Finished Primary or Middle School",23
4008,Tenabo,10,Normal Bachelor's Degree,77
4008,Tenabo,11,Bachelor's Degree,847
4008,Tenabo,12,Specialty,2
4008,Tenabo,13,Master Degree,37
4008,Tenabo,14,PhD,5
4008,Tenabo,99,No Specified,9
4009,Escárcega,0,Undefined,5547
4009,Escárcega,1,Preschool or Kindergarden,3492
4009,Escárcega,2,Primary School,18268
4009,Escárcega,3,Middle School,15771
4009,Escárcega,4,High School or General Baccalaureate,7496
4009,Escárcega,5,Technical Baccalaureate or Normal Basic Education,97
4009,Escárcega,6,"Technical or Comercial Studies, and Finished Primary School",30
4009,Escárcega,7,"Technical or Comercial Studies, and Finished Middle School",222
4009,Escárcega,8,"Technical or Comercial Studies, and Finished High School",257
4009,Escárcega,9,"Normal Studies, and Finished Primary or Middle School",13
4009,Escárcega,10,Normal Bachelor's Degree,108
4009,Escárcega,11,Bachelor's Degree,4687
4009,Escárcega,12,Specialty,66
4009,Escárcega,13,Master Degree,384
4009,Escárcega,14,PhD,48
4009,Escárcega,99,No Specified,56
4010,Calakmul,0,Undefined,3023
4010,Calakmul,1,Preschool or Kindergarden,2665
4010,Calakmul,2,Primary School,8893
4010,Calakmul,3,Middle School,9568
4010,Calakmul,4,High School or General Baccalaureate,3792
4010,Calakmul,5,Technical Baccalaureate or Normal Basic Education,113
4010,Calakmul,6,"Technical or Comercial Studies, and Finished Primary School",22
4010,Calakmul,7,"Technical or Comercial Studies, and Finished Middle School",22
4010,Calakmul,8,"Technical or Comercial Studies, and Finished High School",134
4010,Calakmul,10,Normal Bachelor's Degree,78
4010,Calakmul,11,Bachelor's Degree,833
4010,Calakmul,12,Specialty,6
4010,Calakmul,13,Master Degree,56
4010,Calakmul,14,PhD,6
4010,Calakmul,99,No Specified,41
4011,Candelaria,0,Undefined,5663
4011,Candelaria,1,Preschool or Kindergarden,2930
4011,Candelaria,2,Primary School,15417
4011,Candelaria,3,Middle School,13267
4011,Candelaria,4,High School or General Baccalaureate,4311
4011,Candelaria,5,Technical Baccalaureate or Normal Basic Education,526
4011,Candelaria,7,"Technical or Comercial Studies, and Finished Middle School",105
4011,Candelaria,8,"Technical or Comercial Studies, and Finished High School",141
4011,Candelaria,9,"Normal Studies, and Finished Primary or Middle School",7
4011,Candelaria,10,Normal Bachelor's Degree,71
4011,Candelaria,11,Bachelor's Degree,1176
4011,Candelaria,12,Specialty,14
4011,Candelaria,13,Master Degree,119
4011,Candelaria,99,No Specified,63
4012,Seybaplaya,99,No Specified,14550
5001,Abasolo,0,Undefined,40
5001,Abasolo,1,Preschool or Kindergarden,50
5001,Abasolo,2,Primary School,304
5001,Abasolo,3,Middle School,319
5001,Abasolo,4,High School or General Baccalaureate,134
5001,Abasolo,5,Technical Baccalaureate or Normal Basic Education,16
5001,Abasolo,6,"Technical or Comercial Studies, and Finished Primary School",11
5001,Abasolo,7,"Technical or Comercial Studies, and Finished Middle School",14
5001,Abasolo,8,"Technical or Comercial Studies, and Finished High School",44
5001,Abasolo,9,"Normal Studies, and Finished Primary or Middle School",1
5001,Abasolo,10,Normal Bachelor's Degree,7
5001,Abasolo,11,Bachelor's Degree,25
5001,Abasolo,12,Specialty,5
5001,Abasolo,13,Master Degree,7
5001,Abasolo,14,PhD,2
5001,Abasolo,99,No Specified,3
5002,Acuña,0,Undefined,8235
5002,Acuña,1,Preschool or Kindergarden,8144
5002,Acuña,2,Primary School,42683
5002,Acuña,3,Middle School,49861
5002,Acuña,4,High School or General Baccalaureate,27896
